sample_id,true_label,front_prob_safe,front_prob_phone,side_prob_safe,side_prob_phone,front_confidence,side_confidence,adaptive_weight_front,adaptive_weight_side,average_pred,adaptive_pred,average_correct,adaptive_correct,weight_difference_abs,case_type
S08_AC05_F00061,1,0.29565972,0.70434028,0.45024115,0.54975885,0.20434028,0.04975885,0.53856859,0.46143141,1,1,True,True,0.03856859,both_correct
S08_AC05_F00091,1,0.15510267,0.84489733,0.40411723,0.59588277,0.34489733,0.09588277,0.56193393,0.43806607,1,1,True,True,0.06193393,both_correct
S08_AC05_F00121,1,0.46978217,0.53021783,0.49761128,0.50238872,0.03021783,0.00238872,0.50695683,0.49304317,1,1,True,True,0.00695683,both_correct
S08_AC05_F00151,1,0.12471426,0.87528574,0.2260797,0.7739203,0.37528574,0.2739203,0.52531969,0.47468031,1,1,True,True,0.02531969,both_correct
S08_AC06_F00001,1,0.0647254,0.9352746,0.2392686,0.7607314,0.4352746,0.2607314,0.54352536,0.45647464,1,1,True,True,0.04352536,both_correct
S08_AC06_F00031,1,0.11445439,0.88554561,0.16945374,0.83054626,0.38554561,0.33054626,0.51374637,0.48625363,1,1,True,True,0.01374637,both_correct
S08_AC06_F00061,1,0.2032094,0.7967906,0.19994056,0.80005944,0.2967906,0.30005944,0.49918279,0.50081721,1,1,True,True,0.00081721,both_correct
S08_AC06_F00091,1,0.2512176,0.7487824,0.43505609,0.56494391,0.2487824,0.06494391,0.54583062,0.45416938,1,1,True,True,0.04583062,both_correct
S08_AC06_F00121,1,0.10514516,0.89485484,0.40019524,0.59980476,0.39485484,0.09980476,0.57323203,0.42676797,1,1,True,True,0.07323203,both_correct
S08_AC06_F00151,1,0.49205709,0.50794291,0.34050673,0.65949327,0.00794291,0.15949327,0.46218476,0.53781524,1,1,True,True,0.03781524,both_correct
S08_AC07_F00001,1,0.30354154,0.69645846,0.3647458,0.6352542,0.19645846,0.1352542,0.51529629,0.48470371,1,1,True,True,0.01529629,both_correct
S08_AC07_F00031,1,0.1194101,0.8805899,0.15552443,0.84447557,0.3805899,0.34447557,0.5090276,0.4909724,1,1,True,True,0.0090276,both_correct
S08_AC07_F00061,1,0.1493451,0.8506549,0.24859691,0.75140309,0.3506549,0.25140309,0.5247926,0.4752074,1,1,True,True,0.0247926,both_correct
S08_AC07_F00091,1,0.23773849,0.76226151,0.34613508,0.65386492,0.26226151,0.15386492,0.52707264,0.47292736,1,1,True,True,0.02707264,both_correct
S08_AC07_F00121,1,0.08089691,0.91910309,0.16920704,0.83079296,0.41910309,0.33079296,0.52206319,0.47793681,1,1,True,True,0.02206319,both_correct
S08_AC08_F00001,0,0.52093902,0.47906098,0.22314423,0.77685577,0.02093902,0.27685577,0.43636773,0.56363227,1,1,False,False,0.06363227,fusion_broke_front_correct
S08_AC08_F00031,0,0.65965542,0.34034458,0.46880591,0.53119409,0.15965542,0.03119409,0.53207124,0.46792876,0,0,True,True,0.03207124,front_only_correct
S08_AC08_F00061,0,0.59407398,0.40592602,0.26795024,0.73204976,0.09407398,0.23204976,0.46556067,0.53443933,1,1,False,False,0.03443933,fusion_broke_front_correct
S08_AC08_F00091,0,0.51907647,0.48092353,0.38451344,0.61548656,0.01907647,0.11548656,0.47591613,0.52408387,1,1,False,False,0.02408387,fusion_broke_front_correct
S08_AC08_F00121,0,0.59769312,0.40230688,0.42765468,0.57234532,0.09769312,0.07234532,0.50633661,0.49366339,0,0,True,True,0.00633661,front_only_correct
S08_AC08_F00151,0,0.54203868,0.45796132,0.49549508,0.50450492,0.04203868,0.00450492,0.50938234,0.49061766,0,0,True,True,0.00938234,front_only_correct
S08_AC08_F00181,1,0.23306537,0.76693463,0.43724108,0.56275892,0.26693463,0.06275892,0.55086734,0.44913266,1,1,True,True,0.05086734,both_correct
S08_AC09_F00001,1,0.20839405,0.79160595,0.33206254,0.66793746,0.29160595,0.16793746,0.53087778,0.46912222,1,1,True,True,0.03087778,both_correct
S08_AC09_F00031,1,0.20905691,0.79094309,0.3433246,0.6566754,0.29094309,0.1566754,0.53351658,0.46648342,1,1,True,True,0.03351658,both_correct
S08_AC09_F00061,1,0.15043175,0.84956825,0.46396047,0.53603953,0.34956825,0.03603953,0.57774635,0.42225365,1,1,True,True,0.07774635,both_correct
S08_AC09_F00091,1,0.22689587,0.77310413,0.37196672,0.62803328,0.27310413,0.12803328,0.53620424,0.46379576,1,1,True,True,0.03620424,both_correct
S08_AC09_F00121,1,0.61150572,0.38849428,0.43722367,0.56277633,0.11150572,0.06277633,0.51217994,0.48782006,0,0,False,False,0.01217994,side_only_correct
S08_AC09_F00151,1,0.40025985,0.59974015,0.33723325,0.66276675,0.09974015,0.16276675,0.48424856,0.51575144,1,1,True,True,0.01575144,both_correct
S10_AC01_F00001,1,0.39654332,0.60345668,0.32528138,0.67471862,0.10345668,0.17471862,0.48219205,0.51780795,1,1,True,True,0.01780795,both_correct
S10_AC01_F00031,1,0.28291166,0.71708834,0.36491358,0.63508642,0.21708834,0.13508642,0.520489,0.479511,1,1,True,True,0.020489,both_correct
S10_AC01_F00061,1,0.19619131,0.80380869,0.29779822,0.70220178,0.30380869,0.20220178,0.5253799,0.4746201,1,1,True,True,0.0253799,both_correct
S10_AC01_F00091,1,0.46054411,0.53945589,0.32155979,0.67844021,0.03945589,0.17844021,0.46530974,0.53469026,1,1,True,True,0.03469026,both_correct
S10_AC01_F00121,1,0.24368542,0.75631458,0.29488015,0.70511985,0.25631458,0.20511985,0.51279589,0.48720411,1,1,True,True,0.01279589,both_correct
S10_AC05_F00001,1,0.19103843,0.80896157,0.2091108,0.7908892,0.30896157,0.2908892,0.50451797,0.49548203,1,1,True,True,0.00451797,both_correct
S10_AC05_F00031,1,0.17476493,0.82523507,0.20403433,0.79596567,0.32523507,0.29596567,0.50731683,0.49268317,1,1,True,True,0.00731683,both_correct
S10_AC05_F00061,1,0.1741662,0.8258338,0.19853115,0.80146885,0.3258338,0.30146885,0.50609094,0.49390906,1,1,True,True,0.00609094,both_correct
S10_AC05_F00091,1,0.16081536,0.83918464,0.18749309,0.81250691,0.33918464,0.31250691,0.50666904,0.49333096,1,1,True,True,0.00666904,both_correct
S10_AC05_F00121,1,0.10461366,0.89538634,0.18922436,0.81077564,0.39538634,0.31077564,0.52114006,0.47885994,1,1,True,True,0.02114006,both_correct
S10_AC06_F00001,1,0.17323655,0.82676345,0.22233057,0.77766943,0.32676345,0.27766943,0.51227104,0.48772896,1,1,True,True,0.01227104,both_correct
S10_AC06_F00031,1,0.14469242,0.85530758,0.33017069,0.66982931,0.35530758,0.16982931,0.54623709,0.45376291,1,1,True,True,0.04623709,both_correct
S10_AC06_F00061,1,0.34891748,0.65108252,0.43181705,0.56818295,0.15108252,0.06818295,0.52071303,0.47928697,1,1,True,True,0.02071303,both_correct
S10_AC06_F00091,1,0.24608052,0.75391948,0.38240033,0.61759967,0.25391948,0.11759967,0.53402728,0.46597272,1,1,True,True,0.03402728,both_correct
S10_AC06_F00121,1,0.38486814,0.61513186,0.27851158,0.72148842,0.11513186,0.22148842,0.4734359,0.5265641,1,1,True,True,0.0265641,both_correct
S10_AC07_F00001,1,0.60962465,0.39037535,0.34683311,0.65316689,0.10962465,0.15316689,0.48911616,0.51088384,1,1,True,True,0.01088384,fusion_fixed_front_error
S10_AC07_F00031,1,0.08951569,0.91048431,0.26482385,0.73517615,0.41048431,0.23517615,0.54371514,0.45628486,1,1,True,True,0.04371514,both_correct
S10_AC07_F00061,1,0.12654841,0.87345159,0.22950333,0.77049667,0.37345159,0.27049667,0.52571602,0.47428398,1,1,True,True,0.02571602,both_correct
S10_AC07_F00091,1,0.11011827,0.88988173,0.24951982,0.75048018,0.38988173,0.25048018,0.53479406,0.46520594,1,1,True,True,0.03479406,both_correct
S10_AC08_F00001,1,0.23257172,0.76742828,0.2458517,0.7541483,0.26742828,0.2541483,0.50331994,0.49668006,1,1,True,True,0.00331994,both_correct
S10_AC08_F00031,1,0.2983017,0.7016983,0.28820425,0.71179575,0.2016983,0.21179575,0.49747566,0.50252434,1,1,True,True,0.00252434,both_correct
S10_AC08_F00061,1,0.1040163,0.8959837,0.2989217,0.7010783,0.3959837,0.2010783,0.54857268,0.45142732,1,1,True,True,0.04857268,both_correct
S10_AC08_F00091,0,0.64403719,0.35596281,0.54787323,0.45212677,0.14403719,0.04787323,0.52402248,0.47597752,0,0,True,True,0.02402248,both_correct
S10_AC08_F00121,0,0.76320355,0.23679645,0.67092437,0.32907563,0.26320355,0.17092437,0.52305344,0.47694656,0,0,True,True,0.02305344,both_correct
S10_AC09_F00001,0,0.60277033,0.39722967,0.57756981,0.42243019,0.10277033,0.07756981,0.5062998,0.4937002,0,0,True,True,0.0062998,both_correct
S10_AC09_F00031,0,0.59276754,0.40723246,0.68976447,0.31023553,0.09276754,0.18976447,0.47576976,0.52423024,0,0,True,True,0.02423024,both_correct
S10_AC09_F00061,0,0.57581753,0.42418247,0.60022205,0.39977795,0.07581753,0.10022205,0.49389917,0.50610083,0,0,True,True,0.00610083,both_correct
S10_AC09_F00091,1,0.21917886,0.78082114,0.38023311,0.61976689,0.28082114,0.11976689,0.54017676,0.45982324,1,1,True,True,0.04017676,both_correct
S10_AC09_F00121,1,0.11889398,0.88110602,0.19811761,0.80188239,0.38110602,0.30188239,0.51979556,0.48020444,1,1,True,True,0.01979556,both_correct
S10_AC09_F00151,1,0.05655271,0.94344729,0.26993716,0.73006284,0.44344729,0.23006284,0.55314461,0.44685539,1,1,True,True,0.05314461,both_correct
S11_AC01_F00001,1,0.14492738,0.85507262,0.48652518,0.51347482,0.35507262,0.01347482,0.58457859,0.41542141,1,1,True,True,0.08457859,both_correct
S11_AC01_F00031,1,0.28046763,0.71953237,0.3620615,0.6379385,0.21953237,0.1379385,0.52038716,0.47961284,1,1,True,True,0.02038716,both_correct
S11_AC01_F00061,1,0.1768989,0.8231011,0.3667593,0.6332407,0.3231011,0.1332407,0.54732303,0.45267697,1,1,True,True,0.04732303,both_correct
S11_AC01_F00091,1,0.12861693,0.87138307,0.25079644,0.74920356,0.37138307,0.24920356,0.53050694,0.46949306,1,1,True,True,0.03050694,both_correct
S11_AC01_F00121,1,0.13065195,0.86934805,0.35917091,0.64082909,0.36934805,0.14082909,0.55688242,0.44311758,1,1,True,True,0.05688242,both_correct
S11_AC01_F00151,1,0.14640045,0.85359955,0.42574537,0.57425463,0.35359955,0.07425463,0.56938561,0.43061439,1,1,True,True,0.06938561,both_correct
S11_AC05_F00001,1,0.13357234,0.86642766,0.26483601,0.73516399,0.36642766,0.23516399,0.53276888,0.46723112,1,1,True,True,0.03276888,both_correct
S11_AC05_F00031,1,0.13060552,0.86939448,0.4457674,0.5542326,0.36939448,0.0542326,0.57814472,0.42185528,1,1,True,True,0.07814472,both_correct
S11_AC05_F00061,1,0.04727483,0.95272517,0.392735,0.607265,0.45272517,0.107265,0.58551625,0.41448375,1,1,True,True,0.08551625,both_correct
S11_AC05_F00091,1,0.1557349,0.8442651,0.3579092,0.6420908,0.3442651,0.1420908,0.55037212,0.44962788,1,1,True,True,0.05037212,both_correct
S11_AC05_F00121,1,0.01937622,0.98062378,0.4545508,0.5454492,0.48062378,0.0454492,0.60710863,0.39289137,1,1,True,True,0.10710863,both_correct
S11_AC06_F00001,1,0.0444169,0.9555831,0.39250422,0.60749578,0.4555831,0.10749578,0.58615368,0.41384632,1,1,True,True,0.08615368,both_correct
S11_AC06_F00031,1,0.12436277,0.87563723,0.39299697,0.60700303,0.37563723,0.10700303,0.56675757,0.43324243,1,1,True,True,0.06675757,both_correct
S11_AC06_F00061,1,0.06968319,0.93031681,0.44077206,0.55922794,0.43031681,0.05922794,0.59172206,0.40827794,1,1,True,True,0.09172206,both_correct
S11_AC06_F00091,1,0.19240689,0.80759311,0.50780156,0.49219844,0.30759311,0.00780156,0.57439156,0.42560844,1,1,True,True,0.07439156,front_only_correct
S11_AC07_F00001,1,0.19265521,0.80734479,0.4998647,0.5001353,0.30734479,0.0001353,0.57620398,0.42379602,1,1,True,True,0.07620398,both_correct
S11_AC07_F00031,1,0.06619173,0.93380827,0.44034779,0.55965221,0.43380827,0.05965221,0.59246285,0.40753715,1,1,True,True,0.09246285,both_correct
S11_AC07_F00061,1,0.06545645,0.93454355,0.37666059,0.62333941,0.43454355,0.12333941,0.57717915,0.42282085,1,1,True,True,0.07717915,both_correct
S11_AC07_F00091,1,0.43929368,0.56070632,0.53479004,0.46520996,0.06070632,0.03479004,0.50647871,0.49352129,1,1,True,True,0.00647871,front_only_correct
S11_AC08_F00001,1,0.12932861,0.87067139,0.44812304,0.55187696,0.37067139,0.05187696,0.57903042,0.42096958,1,1,True,True,0.07903042,both_correct
S11_AC08_F00031,1,0.08219272,0.91780728,0.51901308,0.48098692,0.41780728,0.01901308,0.59839792,0.40160208,1,1,True,True,0.09839792,front_only_correct
S11_AC08_F00061,1,0.18735236,0.81264764,0.38967615,0.61032385,0.31264764,0.11032385,0.55040911,0.44959089,1,1,True,True,0.05040911,both_correct
S11_AC08_F00091,1,0.09398121,0.90601879,0.42886901,0.57113099,0.40601879,0.07113099,0.58294818,0.41705182,1,1,True,True,0.08294818,both_correct
S11_AC09_F00001,1,0.14926618,0.85073382,0.32246357,0.67753643,0.35073382,0.17753643,0.54319143,0.45680857,1,1,True,True,0.04319143,both_correct
S11_AC09_F00031,1,0.17747289,0.82252711,0.44765216,0.55234784,0.32252711,0.05234784,0.56713692,0.43286308,1,1,True,True,0.06713692,both_correct
S11_AC09_F00061,0,0.25543672,0.74456328,0.40338564,0.59661436,0.24456328,0.09661436,0.53691991,0.46308009,1,1,False,False,0.03691991,both_wrong
S11_AC09_F00091,0,0.45991921,0.54008079,0.50891671,0.49108329,0.04008079,0.00891671,0.50779039,0.49220961,1,1,False,False,0.00779039,side_only_correct
S17_AC01_F00001,0,0.66930169,0.33069831,0.33589804,0.66410196,0.16930169,0.16410196,0.50129993,0.49870007,0,0,True,True,0.00129993,front_only_correct
S17_AC01_F00031,0,0.53583431,0.46416569,0.48262334,0.51737666,0.03583431,0.01737666,0.50461428,0.49538572,0,0,True,True,0.00461428,front_only_correct
S17_AC01_F00061,0,0.48139936,0.51860064,0.49100143,0.50899857,0.01860064,0.00899857,0.5024005,0.4975995,1,1,False,False,0.0024005,both_wrong
S17_AC01_F00091,0,0.61192259,0.38807741,0.50025964,0.49974036,0.11192259,0.00025964,0.52788677,0.47211323,0,0,True,True,0.02788677,both_correct
S17_AC01_F00121,1,0.13777721,0.86222279,0.30123425,0.69876575,0.36222279,0.19876575,0.54077352,0.45922648,1,1,True,True,0.04077352,both_correct
S17_AC01_F00151,1,0.54381472,0.45618528,0.31579387,0.68420613,0.04381472,0.18420613,0.46495968,0.53504032,1,1,True,True,0.03504032,fusion_fixed_front_error
S17_AC05_F00001,1,0.36820823,0.63179177,0.37564915,0.62435085,0.13179177,0.12435085,0.50186022,0.49813978,1,1,True,True,0.00186022,both_correct
S17_AC05_F00031,1,0.45065522,0.54934478,0.28571141,0.71428859,0.04934478,0.21428859,0.45885728,0.54114272,1,1,True,True,0.04114272,both_correct
S17_AC05_F00061,1,0.33971429,0.66028571,0.31253678,0.68746322,0.16028571,0.18746322,0.49320604,0.50679396,1,1,True,True,0.00679396,both_correct
S17_AC05_F00091,1,0.19844341,0.80155659,0.20837289,0.79162711,0.30155659,0.29162711,0.50248235,0.49751765,1,1,True,True,0.00248235,both_correct
S17_AC05_F00121,1,0.2188105,0.7811895,0.22219616,0.77780384,0.2811895,0.27780384,0.50084641,0.49915359,1,1,True,True,0.00084641,both_correct
S17_AC06_F00001,1,0.68935779,0.31064221,0.2836014,0.7163986,0.18935779,0.2163986,0.49324021,0.50675979,1,1,True,True,0.00675979,fusion_fixed_front_error
S17_AC06_F00031,1,0.12079024,0.87920976,0.22412086,0.77587914,0.37920976,0.27587914,0.52580969,0.47419031,1,1,True,True,0.02580969,both_correct
S17_AC06_F00061,1,0.09726548,0.90273452,0.25519949,0.74480051,0.40273452,0.24480051,0.53940164,0.46059836,1,1,True,True,0.03940164,both_correct
S17_AC06_F00091,1,0.0464164,0.9535836,0.19465846,0.80534154,0.4535836,0.30534154,0.53699279,0.46300721,1,1,True,True,0.03699279,both_correct
S17_AC06_F00121,1,0.06506628,0.93493372,0.2412833,0.7587167,0.43493372,0.2587167,0.54394061,0.45605939,1,1,True,True,0.04394061,both_correct
S17_AC06_F00151,1,0.34734416,0.65265584,0.34284598,0.65715402,0.15265584,0.15715402,0.49887546,0.50112454,1,1,True,True,0.00112454,both_correct
S17_AC07_F00001,1,0.36630541,0.63369459,0.53814557,0.46185443,0.13369459,0.03814557,0.5238691,0.4761309,1,1,True,True,0.0238691,front_only_correct
S17_AC07_F00031,1,0.05866182,0.94133818,0.33430934,0.66569066,0.44133818,0.16569066,0.56847883,0.43152117,1,1,True,True,0.06847883,both_correct
S17_AC07_F00061,1,0.07173544,0.92826456,0.26290011,0.73709989,0.42826456,0.23709989,0.54764616,0.45235384,1,1,True,True,0.04764616,both_correct
S17_AC07_F00091,1,0.37302947,0.62697053,0.36772543,0.63227457,0.12697053,0.13227457,0.49867399,0.50132601,1,1,True,True,0.00132601,both_correct
S17_AC07_F00121,1,0.53778601,0.46221399,0.17850775,0.82149225,0.03778601,0.32149225,0.42954538,0.57045462,1,1,True,True,0.07045462,fusion_fixed_front_error
S17_AC07_F00151,1,0.44355971,0.55644029,0.34155011,0.65844989,0.05644029,0.15844989,0.47451969,0.52548031,1,1,True,True,0.02548031,both_correct
S17_AC07_F00181,1,0.56971791,0.43028209,0.50447711,0.49552289,0.06971791,0.00447711,0.51630442,0.48369558,0,0,False,False,0.01630442,both_wrong
S17_AC08_F00001,1,0.04124421,0.95875579,0.28254223,0.71745777,0.45875579,0.21745777,0.5600335,0.4399665,1,1,True,True,0.0600335,both_correct
S17_AC08_F00031,1,0.05518055,0.94481945,0.4116832,0.5883168,0.44481945,0.0883168,0.58819356,0.41180644,1,1,True,True,0.08819356,both_correct
S17_AC08_F00061,1,0.17806208,0.82193792,0.36881971,0.63118029,0.32193792,0.13118029,0.54754532,0.45245468,1,1,True,True,0.04754532,both_correct
S17_AC08_F00091,1,0.14690912,0.85309088,0.2944048,0.7055952,0.35309088,0.2055952,0.53680722,0.46319278,1,1,True,True,0.03680722,both_correct
S17_AC08_F00121,1,0.0759027,0.9240973,0.31130445,0.68869555,0.4240973,0.18869555,0.55858017,0.44141983,1,1,True,True,0.05858017,both_correct
S17_AC09_F00001,1,0.13729066,0.86270934,0.45385349,0.54614651,0.36270934,0.04614651,0.57848636,0.42151364,1,1,True,True,0.07848636,both_correct
S17_AC09_F00031,0,0.44085455,0.55914545,0.57033193,0.42966807,0.05914545,0.07033193,0.49720341,0.50279659,0,0,True,True,0.00279659,fusion_fixed_front_error
S17_AC09_F00061,0,0.35266811,0.64733189,0.56468284,0.43531716,0.14733189,0.06468284,0.52065051,0.47934949,1,1,False,False,0.02065051,side_only_correct
S17_AC09_F00091,0,0.61908346,0.38091654,0.61182487,0.38817513,0.11908346,0.11182487,0.50181464,0.49818536,0,0,True,True,0.00181464,both_correct
S17_AC09_F00121,0,0.623667,0.376333,0.6008184,0.3991816,0.123667,0.1008184,0.5057119,0.4942881,0,0,True,True,0.0057119,both_correct
S17_AC09_F00151,1,0.37269121,0.62730879,0.43893182,0.56106818,0.12730879,0.06106818,0.5165541,0.4834459,1,1,True,True,0.0165541,both_correct
S21_AC01_F00001,1,0.11986208,0.88013792,0.46042699,0.53957301,0.38013792,0.03957301,0.58432774,0.41567226,1,1,True,True,0.08432774,both_correct
S21_AC01_F00031,1,0.18653727,0.81346273,0.38748246,0.61251754,0.31346273,0.11251754,0.55006794,0.44993206,1,1,True,True,0.05006794,both_correct
S21_AC01_F00061,1,0.2502836,0.7497164,0.52386463,0.47613537,0.2497164,0.02386463,0.55622415,0.44377585,1,1,True,True,0.05622415,front_only_correct
S21_AC01_F00091,1,0.24217987,0.75782013,0.55366758,0.44633242,0.25782013,0.05366758,0.55086161,0.44913839,1,1,True,True,0.05086161,front_only_correct
S21_AC01_F00121,1,0.50482658,0.49517342,0.4905138,0.5094862,0.00482658,0.0094862,0.4988351,0.5011649,1,1,True,True,0.0011649,fusion_fixed_front_error
S21_AC05_F00001,1,0.30107385,0.69892615,0.33889258,0.66110742,0.19892615,0.16110742,0.50945356,0.49054644,1,1,True,True,0.00945356,both_correct
S21_AC05_F00031,1,0.21045065,0.78954935,0.43300182,0.56699818,0.28954935,0.06699818,0.55540928,0.44459072,1,1,True,True,0.05540928,both_correct
S21_AC05_F00061,1,0.25564957,0.74435043,0.38887596,0.61112404,0.24435043,0.11112404,0.53325742,0.46674258,1,1,True,True,0.03325742,both_correct
