sample_id,case_type,selection_rank,priority_score,subject_id,activity_id,frame,binary_label,true_label,true_label_name,front_pred,side_pred,average_pred,adaptive_pred,front_prob_phone,side_prob_phone,average_prob_phone,adaptive_prob_phone,front_correct,side_correct,average_correct,adaptive_correct,filepath_front,filepath_side
S04_AC08_F00061,fusion_fixed_front_error,1,0.28370624000000005,4,8,61,phone_use,1,phone_use,0,1,1,1,0.46221399,0.82149225,0.64185312,0.66716594,False,True,True,True,D:\Skripsi\Experiment\data\raw\RGB2\S4\AC8\RGB2_SUB4ACT8F61.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S4\AC8\RGB1_SUB4ACT8F61.jpg
S10_AC06_F00061,fusion_fixed_front_error,2,0.21882262999999996,10,6,61,phone_use,1,phone_use,0,1,1,1,0.47156015,0.74726248,0.60941131,0.62443389,False,True,True,True,D:\Skripsi\Experiment\data\raw\RGB2\S10\AC6\RGB2_SUB10ACT6F61.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S10\AC6\RGB1_SUB10ACT6F61.jpg
S10_AC08_F00121,fusion_fixed_front_error,3,0.20658073000000005,10,8,121,phone_use,1,phone_use,0,1,1,1,0.45152012,0.75506061,0.60329036,0.61891126,False,True,True,True,D:\Skripsi\Experiment\data\raw\RGB2\S10\AC8\RGB2_SUB10ACT8F121.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S10\AC8\RGB1_SUB10ACT8F121.jpg
S10_AC06_F00031,fusion_fixed_front_error,4,0.20064362999999996,10,6,31,phone_use,1,phone_use,0,1,1,1,0.44934401,0.75129962,0.60032181,0.61541757,False,True,True,True,D:\Skripsi\Experiment\data\raw\RGB2\S10\AC6\RGB2_SUB10ACT6F31.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S10\AC6\RGB1_SUB10ACT6F31.jpg
S04_AC05_F00031,fusion_fixed_front_error,5,0.14039141,4,5,31,phone_use,1,phone_use,0,1,1,1,0.45618528,0.68420613,0.5701957,0.57818563,False,True,True,True,D:\Skripsi\Experiment\data\raw\RGB2\S4\AC5\RGB2_SUB4ACT5F31.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S4\AC5\RGB1_SUB4ACT5F31.jpg
S04_AC01_F00121,side_only_correct,1,-0.031164079999999983,4,1,121,safe_driving,0,safe_driving,1,0,1,1,0.54008079,0.49108329,0.51558204,0.51596375,False,True,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S4\AC1\RGB2_SUB4ACT1F121.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S4\AC1\RGB1_SUB4ACT1F121.jpg
S08_AC08_F00001,side_only_correct,2,-0.039688879999999926,8,8,1,phone_use,1,phone_use,0,1,0,0,0.40835774,0.55195338,0.48015556,0.47873096,False,True,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S8\AC8\RGB2_SUB8ACT8F1.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S8\AC8\RGB1_SUB8ACT8F1.jpg
S17_AC06_F00001,side_only_correct,3,-0.04872938999999993,17,6,1,phone_use,1,phone_use,0,1,0,0,0.38849428,0.56277633,0.47563531,0.47351256,False,True,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S17\AC6\RGB2_SUB17ACT6F1.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S17\AC6\RGB1_SUB17ACT6F1.jpg
S08_AC05_F00001,side_only_correct,4,-0.07574475000000003,8,5,1,phone_use,1,phone_use,0,1,0,0,0.41704869,0.50720656,0.46212763,0.4604212,False,True,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S8\AC5\RGB2_SUB8ACT5F1.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S8\AC5\RGB1_SUB8ACT5F1.jpg
S42_AC01_F00031,side_only_correct,5,-0.08264905,42,1,31,safe_driving,0,safe_driving,1,0,1,1,0.64733189,0.43531716,0.54132453,0.54570274,False,True,False,False,D:\Skripsi\Experiment\data\raw\RGB2\S42\AC1\RGB2_SUB42ACT1F31.jpg,D:\Skripsi\Experiment\data\raw\RGB1\S42\AC1\RGB1_SUB42ACT1F31.jpg
