sample_id,true_label,front_prob_safe,front_prob_phone,front_pred,side_prob_safe,side_prob_phone,side_pred,average_prob_safe,average_prob_phone,average_pred,adaptive_prob_safe,adaptive_prob_phone,adaptive_pred,front_correct,side_correct,average_correct,adaptive_correct,case_type
S08_AC05_F00151,1,0.40129465,0.59870535,1,0.26453686,0.73546314,1,0.33291575,0.66708425,1,0.32824735,0.67175265,1,True,True,True,True,both_correct
S08_AC06_F00001,1,0.26036888,0.73963112,1,0.21903378,0.78096622,1,0.23970133,0.76029867,1,0.23927424,0.76072576,1,True,True,True,True,both_correct
S08_AC06_F00031,1,0.17683685,0.82316315,1,0.26311678,0.73688322,1,0.21997681,0.78002319,1,0.21811691,0.78188309,1,True,True,True,True,both_correct
S08_AC06_F00061,1,0.15800589,0.84199411,1,0.32678217,0.67321783,1,0.24239403,0.75760597,1,0.23528953,0.76471047,1,True,True,True,True,both_correct
S08_AC06_F00091,1,0.28444469,0.71555531,1,0.3546235,0.6453765,1,0.31953409,0.68046591,1,0.31830333,0.68169667,1,True,True,True,True,both_correct
S08_AC06_F00121,1,0.11285502,0.88714498,1,0.30408204,0.69591796,1,0.20846853,0.79153147,1,0.19935434,0.80064566,1,True,True,True,True,both_correct
S08_AC06_F00151,1,0.44373357,0.55626643,1,0.2836796,0.7163204,1,0.36370659,0.63629341,1,0.35731591,0.64268409,1,True,True,True,True,both_correct
S08_AC07_F00001,1,0.40875936,0.59124064,1,0.3847993,0.6152007,1,0.39677933,0.60322067,1,0.39663581,0.60336419,1,True,True,True,True,both_correct
S08_AC07_F00031,1,0.06788969,0.93211031,1,0.33638012,0.66361988,1,0.20213491,0.79786509,1,0.18422062,0.81577938,1,True,True,True,True,both_correct
S08_AC07_F00061,1,0.07412809,0.92587191,1,0.34860855,0.65139145,1,0.21136832,0.78863168,1,0.19265081,0.80734919,1,True,True,True,True,both_correct
S08_AC07_F00091,1,0.06478012,0.93521988,1,0.34152901,0.65847099,1,0.20315456,0.79684544,1,0.18412836,0.81587164,1,True,True,True,True,both_correct
S08_AC07_F00121,1,0.11968887,0.88031113,1,0.33556145,0.66443855,1,0.22762516,0.77237484,1,0.21601995,0.78398005,1,True,True,True,True,both_correct
S08_AC08_F00001,1,0.59164226,0.40835774,0,0.44804662,0.55195338,1,0.51984444,0.48015556,0,0.52126904,0.47873096,0,False,True,False,False,side_only_correct
S08_AC08_F00031,1,0.35157609,0.64842391,1,0.36778712,0.63221288,1,0.35968161,0.64031839,1,0.35961591,0.64038409,1,True,True,True,True,both_correct
S08_AC08_F00061,1,0.4589532,0.5410468,1,0.39875025,0.60124975,1,0.42885172,0.57114828,1,0.4279459,0.5720541,1,True,True,True,True,both_correct
S08_AC08_F00091,1,0.46391582,0.53608418,1,0.40919954,0.59080046,1,0.43655768,0.56344232,1,0.4358094,0.5641906,1,True,True,True,True,both_correct
S08_AC08_F00121,1,0.41412151,0.58587849,1,0.37001896,0.62998104,1,0.39207023,0.60792977,1,0.39158405,0.60841595,1,True,True,True,True,both_correct
S08_AC08_F00151,1,0.39355606,0.60644394,1,0.36647201,0.63352799,1,0.38001403,0.61998597,1,0.37983066,0.62016934,1,True,True,True,True,both_correct
S08_AC08_F00181,1,0.46022236,0.53977764,1,0.46503735,0.53496265,1,0.46262985,0.53737015,1,0.46262406,0.53737594,1,True,True,True,True,both_correct
S08_AC09_F00001,1,0.24402738,0.75597262,1,0.2894423,0.7105577,1,0.26673484,0.73326516,1,0.2662193,0.7337807,1,True,True,True,True,both_correct
S08_AC09_F00031,1,0.12284279,0.87715721,1,0.25596726,0.74403274,1,0.18940502,0.81059498,1,0.18498102,0.81501898,1,True,True,True,True,both_correct
S08_AC09_F00061,1,0.15294933,0.84705067,1,0.23790306,0.76209694,1,0.1954262,0.8045738,1,0.193623,0.806377,1,True,True,True,True,both_correct
S08_AC09_F00091,1,0.09824193,0.90175807,1,0.24274516,0.75725484,1,0.17049354,0.82950646,1,0.16528231,0.83471769,1,True,True,True,True,both_correct
S08_AC09_F00121,1,0.14426094,0.85573906,1,0.20911044,0.79088956,1,0.17668569,0.82331431,1,0.17563469,0.82436531,1,True,True,True,True,both_correct
S08_AC09_F00151,1,0.18482637,0.81517363,1,0.36481267,0.63518733,1,0.27481952,0.72518048,1,0.26674255,0.73325745,1,True,True,True,True,both_correct
S10_AC01_F00001,0,0.63493434,0.36506566,0,0.4012202,0.5987798,1,0.51807727,0.48192273,0,0.5201895,0.4798105,0,True,False,True,True,front_only_correct
S10_AC01_F00031,0,0.64129886,0.35870114,0,0.36513609,0.63486391,1,0.50321747,0.49678253,0,0.50366175,0.49633825,0,True,False,True,True,front_only_correct
S10_AC01_F00061,0,0.22645682,0.77354318,1,0.26145399,0.73854601,1,0.2439554,0.7560446,1,0.24364923,0.75635077,1,False,False,False,False,both_wrong
S10_AC01_F00091,0,0.55461457,0.44538543,0,0.20481718,0.79518282,1,0.37971587,0.62028413,1,0.35877921,0.64122079,1,True,False,False,False,fusion_broke_front_correct
S10_AC01_F00121,0,0.48174608,0.51825392,1,0.30921704,0.69078296,1,0.39548156,0.60451844,1,0.38805839,0.61194161,1,False,False,False,False,both_wrong
S10_AC05_F00001,1,0.08706552,0.91293448,1,0.2825318,0.7174682,1,0.18479866,0.81520134,1,0.17527719,0.82472281,1,True,True,True,True,both_correct
S10_AC05_F00031,1,0.14870185,0.85129815,1,0.25902748,0.74097252,1,0.20386466,0.79613534,1,0.20082481,0.79917519,1,True,True,True,True,both_correct
S10_AC05_F00061,1,0.08708388,0.91291612,1,0.22207797,0.77792203,1,0.15458092,0.84541908,1,0.15003198,0.84996802,1,True,True,True,True,both_correct
S10_AC05_F00091,1,0.07267958,0.92732042,1,0.12328833,0.87671167,1,0.09798396,0.90201604,1,0.09734378,0.90265622,1,True,True,True,True,both_correct
S10_AC05_F00121,1,0.1213904,0.8786096,1,0.27600962,0.72399038,1,0.19870001,0.80129999,1,0.19273511,0.80726489,1,True,True,True,True,both_correct
S10_AC06_F00001,1,0.29984802,0.70015198,1,0.17935234,0.82064766,1,0.23960018,0.76039982,1,0.23597476,0.76402524,1,True,True,True,True,both_correct
S10_AC06_F00031,1,0.55065599,0.44934401,0,0.24870038,0.75129962,1,0.39967819,0.60032181,1,0.38458243,0.61541757,1,False,True,True,True,fusion_fixed_front_error
S10_AC06_F00061,1,0.52843985,0.47156015,0,0.25273752,0.74726248,1,0.39058869,0.60941131,1,0.37556611,0.62443389,1,False,True,True,True,fusion_fixed_front_error
S10_AC06_F00091,1,0.71370465,0.28629535,0,0.2822721,0.7177279,1,0.49798837,0.50201163,1,0.49755443,0.50244557,1,False,True,True,True,fusion_fixed_front_error
S10_AC06_F00121,1,0.2362271,0.7637729,1,0.22023684,0.77976316,1,0.22823197,0.77176803,1,0.22816805,0.77183195,1,True,True,True,True,both_correct
S10_AC07_F00001,1,0.02373987,0.97626013,1,0.15029401,0.84970599,1,0.08701694,0.91298306,1,0.08301829,0.91698171,1,True,True,True,True,both_correct
S10_AC07_F00031,1,0.03646088,0.96353912,1,0.21756387,0.78243613,1,0.12701237,0.87298763,1,0.11883514,0.88116486,1,True,True,True,True,both_correct
S10_AC07_F00061,1,0.07917035,0.92082965,1,0.10460246,0.89539754,1,0.0918864,0.9081136,1,0.09172471,0.90827529,1,True,True,True,True,both_correct
S10_AC07_F00091,1,0.05280679,0.94719321,1,0.16708887,0.83291113,1,0.10994783,0.89005217,1,0.10668628,0.89331372,1,True,True,True,True,both_correct
S10_AC08_F00001,1,0.02103698,0.97896302,1,0.21527159,0.78472841,1,0.11815429,0.88184571,1,0.10875206,0.89124794,1,True,True,True,True,both_correct
S10_AC08_F00031,1,0.35672539,0.64327461,1,0.25561684,0.74438316,1,0.30617112,0.69382888,1,0.30361756,0.69638244,1,True,True,True,True,both_correct
S10_AC08_F00061,1,0.06306547,0.93693453,1,0.14833331,0.85166669,1,0.10569939,0.89430061,1,0.10388284,0.89611716,1,True,True,True,True,both_correct
S10_AC08_F00091,1,0.44107431,0.55892569,1,0.20896399,0.79103601,1,0.32501915,0.67498085,1,0.3116105,0.6883895,1,True,True,True,True,both_correct
S10_AC08_F00121,1,0.54847988,0.45152012,0,0.24493939,0.75506061,1,0.39670964,0.60329036,1,0.38108874,0.61891126,1,False,True,True,True,fusion_fixed_front_error
S10_AC09_F00001,1,0.14727336,0.85272664,1,0.31058258,0.68941742,1,0.22892797,0.77107203,1,0.22227527,0.77772473,1,True,True,True,True,both_correct
S10_AC09_F00031,1,0.07702881,0.92297119,1,0.27822179,0.72177821,1,0.1776253,0.8223747,1,0.16753964,0.83246036,1,True,True,True,True,both_correct
S10_AC09_F00061,1,0.15182358,0.84817642,1,0.21344358,0.78655642,1,0.18263358,0.81736642,1,0.18168462,0.81831538,1,True,True,True,True,both_correct
S10_AC09_F00091,1,0.17724591,0.82275409,1,0.11838883,0.88161117,1,0.14781737,0.85218263,1,0.14695158,0.85304842,1,True,True,True,True,both_correct
S10_AC09_F00121,1,0.35673398,0.64326602,1,0.31375545,0.68624455,1,0.33524472,0.66475528,1,0.334783,0.665217,1,True,True,True,True,both_correct
S10_AC09_F00151,1,0.23434669,0.76565331,1,0.16406167,0.83593833,1,0.19920418,0.80079582,1,0.19796969,0.80203031,1,True,True,True,True,both_correct
S11_AC01_F00001,0,0.69281185,0.30718815,0,0.378492,0.621508,1,0.53565192,0.46434808,0,0.5412526,0.4587474,0,True,False,True,True,front_only_correct
S11_AC01_F00031,0,0.32721585,0.67278415,1,0.359896,0.640104,1,0.34355593,0.65644407,1,0.34328895,0.65671105,1,False,False,False,False,both_wrong
S11_AC01_F00061,0,0.25366265,0.74633735,1,0.19523978,0.80476022,1,0.22445121,0.77554879,1,0.22359815,0.77640185,1,False,False,False,False,both_wrong
S11_AC01_F00091,0,0.1776256,0.8223744,1,0.29556972,0.70443028,1,0.23659766,0.76340234,1,0.23312398,0.76687602,1,False,False,False,False,both_wrong
S11_AC01_F00121,0,0.33585483,0.66414517,1,0.46441805,0.53558195,1,0.40013644,0.59986356,1,0.39601,0.60399,1,False,False,False,False,both_wrong
S11_AC01_F00151,0,0.32503891,0.67496109,1,0.34707904,0.65292096,1,0.33605897,0.66394103,1,0.33593754,0.66406246,1,False,False,False,False,both_wrong
S11_AC05_F00001,1,0.19221526,0.80778474,1,0.52714899,0.47285101,0,0.35968213,0.64031787,1,0.33633655,0.66366345,1,True,False,True,True,front_only_correct
S11_AC05_F00031,1,0.35402161,0.64597839,1,0.39673066,0.60326934,1,0.37537614,0.62462386,1,0.37492019,0.62507981,1,True,True,True,True,both_correct
S11_AC05_F00061,1,0.07581663,0.92418337,1,0.33984643,0.66015357,1,0.20783153,0.79216847,1,0.19050414,0.80949586,1,True,True,True,True,both_correct
S11_AC05_F00091,1,0.26003063,0.73996937,1,0.39178652,0.60821348,1,0.32590857,0.67409143,1,0.32157494,0.67842506,1,True,True,True,True,both_correct
S11_AC05_F00121,1,0.21743929,0.78256071,1,0.43837345,0.56162655,1,0.32790637,0.67209363,1,0.31575279,0.68424721,1,True,True,True,True,both_correct
S11_AC06_F00001,1,0.32230681,0.67769319,1,0.47153795,0.52846205,1,0.39692238,0.60307762,1,0.39136521,0.60863479,1,True,True,True,True,both_correct
S11_AC06_F00031,1,0.29565972,0.70434028,1,0.45024115,0.54975885,1,0.37295043,0.62704957,1,0.36698845,0.63301155,1,True,True,True,True,both_correct
S11_AC06_F00061,1,0.15510267,0.84489733,1,0.40411723,0.59588277,1,0.27960995,0.72039005,1,0.2641875,0.7358125,1,True,True,True,True,both_correct
S11_AC06_F00091,1,0.46978217,0.53021783,1,0.49761128,0.50238872,1,0.48369673,0.51630327,1,0.48350313,0.51649687,1,True,True,True,True,both_correct
S11_AC07_F00001,1,0.12471426,0.87528574,1,0.2260797,0.7739203,1,0.17539698,0.82460302,1,0.17283044,0.82716956,1,True,True,True,True,both_correct
S11_AC07_F00031,1,0.0647254,0.9352746,1,0.2392686,0.7607314,1,0.151997,0.848003,1,0.14439995,0.85560005,1,True,True,True,True,both_correct
S11_AC07_F00061,1,0.11445439,0.88554561,1,0.16945374,0.83054626,1,0.14195406,0.85804594,1,0.14119802,0.85880198,1,True,True,True,True,both_correct
S11_AC07_F00091,1,0.2032094,0.7967906,1,0.19994056,0.80005944,1,0.20157498,0.79842502,1,0.20157231,0.79842769,1,True,True,True,True,both_correct
S11_AC08_F00001,1,0.2512176,0.7487824,1,0.43505609,0.56494391,1,0.34313685,0.65686315,1,0.33471142,0.66528858,1,True,True,True,True,both_correct
S11_AC08_F00031,1,0.10514516,0.89485484,1,0.40019524,0.59980476,1,0.2526702,0.7473298,1,0.23106308,0.76893692,1,True,True,True,True,both_correct
S11_AC08_F00061,1,0.49205709,0.50794291,1,0.34050673,0.65949327,1,0.41628191,0.58371809,1,0.410551,0.589449,1,True,True,True,True,both_correct
S11_AC08_F00091,1,0.30354154,0.69645846,1,0.3647458,0.6352542,1,0.33414367,0.66585633,1,0.33320747,0.66679253,1,True,True,True,True,both_correct
S11_AC09_F00001,1,0.1194101,0.8805899,1,0.15552443,0.84447557,1,0.13746727,0.86253273,1,0.13714124,0.86285876,1,True,True,True,True,both_correct
S11_AC09_F00031,1,0.1493451,0.8506549,1,0.24859691,0.75140309,1,0.198971,0.801029,1,0.19651029,0.80348971,1,True,True,True,True,both_correct
S11_AC09_F00061,1,0.23773849,0.76226151,1,0.34613508,0.65386492,1,0.29193678,0.70806322,1,0.2890022,0.7109978,1,True,True,True,True,both_correct
S11_AC09_F00091,1,0.08089691,0.91910309,1,0.16920704,0.83079296,1,0.12505198,0.87494802,1,0.12310357,0.87689643,1,True,True,True,True,both_correct
S17_AC01_F00001,0,0.52093902,0.47906098,0,0.22314423,0.77685577,1,0.37204163,0.62795837,1,0.35309227,0.64690773,1,True,False,False,False,fusion_broke_front_correct
S17_AC01_F00031,0,0.51907647,0.48092353,0,0.38451344,0.61548656,1,0.45179495,0.54820505,1,0.44855415,0.55144585,1,True,False,False,False,fusion_broke_front_correct
S17_AC01_F00061,0,0.59769312,0.40230688,0,0.42765468,0.57234532,1,0.5126739,0.4873261,0,0.51375137,0.48624863,0,True,False,True,True,front_only_correct
S17_AC01_F00091,0,0.54203868,0.45796132,0,0.49549508,0.50450492,1,0.51876688,0.48123312,0,0.51920357,0.48079643,0,True,False,True,True,front_only_correct
S17_AC01_F00121,0,0.65965542,0.34034458,0,0.46880591,0.53119409,1,0.56423067,0.43576933,0,0.57035145,0.42964855,0,True,False,True,True,front_only_correct
S17_AC01_F00151,0,0.59407398,0.40592602,0,0.26795024,0.73204976,1,0.43101211,0.56898789,1,0.41978063,0.58021937,1,True,False,False,False,fusion_broke_front_correct
S17_AC05_F00001,1,0.23306537,0.76693463,1,0.43724108,0.56275892,1,0.33515322,0.66484678,1,0.32476735,0.67523265,1,True,True,True,True,both_correct
S17_AC05_F00031,1,0.20905691,0.79094309,1,0.3433246,0.6566754,1,0.27619076,0.72380924,1,0.27169056,0.72830944,1,True,True,True,True,both_correct
S17_AC05_F00061,1,0.15043175,0.84956825,1,0.46396047,0.53603953,1,0.30719611,0.69280389,1,0.2828204,0.7171796,1,True,True,True,True,both_correct
S17_AC05_F00091,1,0.22689587,0.77310413,1,0.37196672,0.62803328,1,0.29943129,0.70056871,1,0.29417911,0.70582089,1,True,True,True,True,both_correct
S17_AC05_F00121,1,0.20839405,0.79160595,1,0.33206254,0.66793746,1,0.2702283,0.7297717,1,0.26640969,0.73359031,1,True,True,True,True,both_correct
S17_AC06_F00001,1,0.61150572,0.38849428,0,0.43722367,0.56277633,1,0.52436469,0.47563531,0,0.52648744,0.47351256,0,False,True,False,False,side_only_correct
S17_AC06_F00031,1,0.28291166,0.71708834,1,0.36491358,0.63508642,1,0.32391262,0.67608738,1,0.32223248,0.67776752,1,True,True,True,True,both_correct
S17_AC06_F00061,1,0.19619131,0.80380869,1,0.29779822,0.70220178,1,0.24699476,0.75300524,1,0.24441599,0.75558401,1,True,True,True,True,both_correct
S17_AC06_F00091,1,0.46054411,0.53945589,1,0.32155979,0.67844021,1,0.39105195,0.60894805,1,0.38623055,0.61376945,1,True,True,True,True,both_correct
S17_AC06_F00121,1,0.40025985,0.59974015,1,0.33723325,0.66276675,1,0.36874655,0.63125345,1,0.36775379,0.63224621,1,True,True,True,True,both_correct
S17_AC06_F00151,1,0.39654332,0.60345668,1,0.32528138,0.67471862,1,0.36091235,0.63908765,1,0.35964332,0.64035668,1,True,True,True,True,both_correct
S17_AC07_F00001,1,0.24368542,0.75631458,1,0.29488015,0.70511985,1,0.26928279,0.73071721,1,0.26862771,0.73137229,1,True,True,True,True,both_correct
S17_AC07_F00031,1,0.16081536,0.83918464,1,0.18749309,0.81250691,1,0.17415422,0.82584578,1,0.17397631,0.82602369,1,True,True,True,True,both_correct
S17_AC07_F00061,1,0.10461366,0.89538634,1,0.18922436,0.81077564,1,0.14691901,0.85308099,1,0.14513034,0.85486966,1,True,True,True,True,both_correct
S17_AC07_F00091,1,0.17323655,0.82676345,1,0.22233057,0.77766943,1,0.19778356,0.80221644,1,0.19718112,0.80281888,1,True,True,True,True,both_correct
S17_AC07_F00121,1,0.19103843,0.80896157,1,0.2091108,0.7908892,1,0.20007461,0.79992539,1,0.19999296,0.80000704,1,True,True,True,True,both_correct
S17_AC07_F00151,1,0.17476493,0.82523507,1,0.20403433,0.79596567,1,0.18939963,0.81060037,1,0.18918547,0.81081453,1,True,True,True,True,both_correct
S17_AC07_F00181,1,0.1741662,0.8258338,1,0.19853115,0.80146885,1,0.18634868,0.81365132,1,0.18620027,0.81379973,1,True,True,True,True,both_correct
S17_AC08_F00001,1,0.14469242,0.85530758,1,0.33017069,0.66982931,1,0.23743156,0.76256844,1,0.22885558,0.77114442,1,True,True,True,True,both_correct
S17_AC08_F00031,1,0.24608052,0.75391948,1,0.38240033,0.61759967,1,0.31424043,0.68575957,1,0.30960183,0.69039817,1,True,True,True,True,both_correct
S17_AC08_F00061,1,0.38486814,0.61513186,1,0.27851158,0.72148842,1,0.33168986,0.66831014,1,0.3288646,0.6711354,1,True,True,True,True,both_correct
S17_AC08_F00091,1,0.60962465,0.39037535,0,0.34683311,0.65316689,1,0.47822888,0.52177112,1,0.4753687,0.5246313,1,False,True,True,True,fusion_fixed_front_error
S17_AC08_F00121,1,0.34891748,0.65108252,1,0.43181705,0.56818295,1,0.39036727,0.60963273,1,0.38865017,0.61134983,1,True,True,True,True,both_correct
S17_AC09_F00001,1,0.08951569,0.91048431,1,0.26482385,0.73517615,1,0.17716977,0.82283023,1,0.16950615,0.83049385,1,True,True,True,True,both_correct
S17_AC09_F00031,1,0.23257172,0.76742828,1,0.2458517,0.7541483,1,0.23921171,0.76078829,1,0.23916762,0.76083238,1,True,True,True,True,both_correct
S17_AC09_F00061,1,0.2983017,0.7016983,1,0.28820425,0.71179575,1,0.29325297,0.70674703,1,0.29322749,0.70677251,1,True,True,True,True,both_correct
S17_AC09_F00091,1,0.1040163,0.8959837,1,0.2989217,0.7010783,1,0.201469,0.798531,1,0.19200193,0.80799807,1,True,True,True,True,both_correct
S17_AC09_F00121,1,0.12654841,0.87345159,1,0.22950333,0.77049667,1,0.17802587,0.82197413,1,0.17537828,0.82462172,1,True,True,True,True,both_correct
S17_AC09_F00151,1,0.11011827,0.88988173,1,0.24951982,0.75048018,1,0.17981905,0.82018095,1,0.1749687,0.8250313,1,True,True,True,True,both_correct
S21_AC01_F00001,0,0.64403719,0.35596281,0,0.54787323,0.45212677,0,0.59595521,0.40404479,0,0.5982653,0.4017347,0,True,True,True,True,both_correct
S21_AC01_F00031,0,0.60277033,0.39722967,0,0.57756981,0.42243019,0,0.59017007,0.40982993,0,0.59032883,0.40967117,0,True,True,True,True,both_correct
S21_AC01_F00061,0,0.59276754,0.40723246,0,0.68976447,0.31023553,0,0.641266,0.358734,0,0.64361626,0.35638374,0,True,True,True,True,both_correct
S21_AC01_F00091,0,0.57581753,0.42418247,0,0.60022205,0.39977795,0,0.58801979,0.41198021,0,0.58816868,0.41183132,0,True,True,True,True,both_correct
